Date,PEP
2024-01-29,155.2842559814453
2024-01-30,156.6417999267578
2024-01-31,155.6351776123047
2024-02-01,158.56265258789062
2024-02-02,157.8884735107422
2024-02-05,157.84230041503906
2024-02-06,158.3040771484375
2024-02-07,158.35025024414062
2024-02-08,160.5481414794922
2024-02-09,154.8409881591797
2024-02-12,157.55604553222656
2024-02-13,155.95840454101562
2024-02-14,154.7024688720703
2024-02-15,155.01644897460938
2024-02-16,153.5942840576172
2024-02-20,155.74598693847656
2024-02-21,155.9122314453125
2024-02-22,155.37661743164062
2024-02-23,156.62330627441406
2024-02-26,155.3858642578125
2024-02-27,155.2935333251953
2024-02-28,154.24996948242188
2024-02-29,153.8544921875
2024-03-01,153.1565704345703
2024-03-04,153.88238525390625
2024-03-05,150.78372192382812
2024-03-06,151.67703247070312
2024-03-07,151.77940368652344
2024-03-08,151.7235565185547
2024-03-11,153.286865234375
2024-03-12,153.11004638671875
2024-03-13,153.81727600097656
2024-03-14,153.33338928222656
2024-03-15,153.2217254638672
2024-03-18,159.3632354736328
2024-03-19,159.86572265625
2024-03-20,159.9215545654297
2024-03-21,160.47056579589844
2024-03-22,160.07044982910156
2024-03-25,160.6101531982422
2024-03-26,160.73110961914062
2024-03-27,161.5127716064453
2024-03-28,162.85276794433594
2024-04-01,160.9637451171875
2024-04-02,159.53074645996094
2024-04-03,157.8929901123047
2024-04-04,157.8650665283203
2024-04-05,157.3905029296875
2024-04-08,157.79995727539062
2024-04-09,158.75839233398438
2024-04-10,157.21371459960938
2024-04-11,156.66468811035156
2024-04-12,156.42276000976562
2024-04-15,155.35264587402344
2024-04-16,155.8644256591797
2024-04-17,157.70689392089844
2024-04-18,160.30308532714844
2024-04-19,162.03384399414062
2024-04-22,164.20201110839844
2024-04-23,159.32603454589844
2024-04-24,165.08602905273438
2024-04-25,164.40673828125
2024-04-26,163.38314819335938
2024-04-29,163.90426635742188
2024-04-30,163.6902313232422
2024-05-01,162.98301696777344
2024-05-02,163.26217651367188
2024-05-03,163.91354370117188
2024-05-06,163.6064910888672
2024-05-07,165.65365600585938
2024-05-08,165.08602905273438
2024-05-09,165.69088745117188
2024-05-10,167.30067443847656
2024-05-13,168.3335723876953
2024-05-14,167.37515258789062
2024-05-15,166.99365234375
2024-05-16,170.39007568359375
2024-05-17,169.53399658203125
2024-05-20,167.78456115722656
2024-05-21,168.50108337402344
2024-05-22,169.44091796875
2024-05-23,166.8168182373047
2024-05-24,165.62576293945312
2024-05-28,161.33599853515625
2024-05-29,159.26089477539062
2024-05-30,158.637451171875
2024-05-31,160.8893280029297
2024-06-03,159.3353271484375
2024-06-04,161.81053161621094
2024-06-05,161.43833923339844
2024-06-06,161.16845703125
2024-06-07,160.41348266601562
2024-06-10,155.5928192138672
2024-06-11,154.8144073486328
2024-06-12,153.65145874023438
2024-06-13,153.18251037597656
2024-06-14,153.6326904296875
2024-06-17,155.8179473876953
2024-06-18,156.1367950439453
2024-06-20,156.32437133789062
2024-06-21,156.8870849609375
2024-06-24,157.6374053955078
2024-06-25,156.9527587890625
2024-06-26,156.3806610107422
2024-06-27,155.9304656982422
2024-06-28,154.68310546875
2024-07-01,152.76983642578125
2024-07-02,153.41697692871094
2024-07-03,152.4978790283203
2024-07-05,154.17665100097656
2024-07-08,152.04769897460938
2024-07-09,151.84133911132812
2024-07-10,153.42633056640625
2024-07-11,153.76397705078125
2024-07-12,156.0430145263672
2024-07-15,153.6795654296875
2024-07-16,154.52365112304688
2024-07-17,159.33493041992188
2024-07-18,159.78514099121094
2024-07-19,158.83787536621094
2024-07-22,157.2434844970703
2024-07-23,155.94921875
2024-07-24,157.7218017578125
2024-07-25,160.39474487304688
2024-07-26,162.01727294921875
2024-07-29,162.44869995117188
2024-07-30,162.42051696777344
2024-07-31,161.9422149658203
2024-08-01,164.0899658203125
2024-08-02,166.9785919189453
2024-08-05,163.2270965576172
2024-08-06,161.7734375
2024-08-07,161.1168975830078
2024-08-08,161.66085815429688
2024-08-09,161.67962646484375
2024-08-12,160.7698974609375
2024-08-13,161.66085815429688
2024-08-14,162.9176025390625
2024-08-15,161.8015594482422
2024-08-16,161.89532470703125
2024-08-19,163.02078247070312
2024-08-20,164.92466735839844
2024-08-21,164.32444763183594
2024-08-22,164.82150268554688
2024-08-23,164.94342041015625
2024-08-26,165.03720092773438
2024-08-27,164.4088134765625
2024-08-28,163.1145477294922
2024-08-29,161.3982696533203
2024-08-30,162.13916015625
2024-09-03,166.5096893310547
2024-09-04,167.42877197265625
2024-09-05,168.16033935546875
2024-09-06,167.5885772705078
2024-09-09,168.391845703125
2024-09-10,168.03274536132812
2024-09-11,166.11434936523438
2024-09-12,167.50352478027344
2024-09-13,167.6074676513672
