Date,HESAY
2023-11-17,205.02488708496094
2023-11-20,207.9929962158203
2023-11-21,208.295654296875
2023-11-22,209.64305114746094
2023-11-24,208.27615356445312
2023-11-27,208.64715576171875
2023-11-28,204.64410400390625
2023-11-29,203.46270751953125
2023-11-30,202.72067260742188
2023-12-01,204.5659942626953
2023-12-04,203.22836303710938
2023-12-05,204.25355529785156
2023-12-06,205.7180938720703
2023-12-07,206.9482879638672
2023-12-08,208.64715576171875
2023-12-11,210.599853515625
2023-12-12,212.24014282226562
2023-12-13,218.02993774414062
2023-12-14,216.80947875976562
2023-12-15,214.94464111328125
2023-12-18,213.4020233154297
2023-12-19,214.3881378173828
2023-12-20,211.37118530273438
2023-12-21,214.20260620117188
2023-12-22,208.82290649414062
2023-12-26,210.43389892578125
2023-12-27,209.3013153076172
2023-12-28,206.1867218017578
2023-12-29,207.57318115234375
2024-01-02,202.9940643310547
2024-01-03,198.88357543945312
2024-01-04,197.2433319091797
2024-01-05,194.06039428710938
2024-01-08,197.6143341064453
2024-01-09,194.8317108154297
2024-01-10,199.29367065429688
2024-01-11,198.56138610839844
2024-01-12,196.24745178222656
2024-01-16,193.29885864257812
2024-01-17,192.0295867919922
2024-01-18,195.9935760498047
2024-01-19,196.4817657470703
2024-01-22,194.88055419921875
2024-01-23,192.34201049804688
2024-01-24,194.70480346679688
2024-01-25,198.94216918945312
2024-01-26,208.50071716308594
2024-01-29,209.34036254882812
2024-01-30,208.76431274414062
2024-01-31,206.13790893554688
2024-02-01,211.771484375
2024-02-02,214.16358947753906
2024-02-05,212.86502075195312
2024-02-06,212.5330352783203
2024-02-07,215.18873596191406
2024-02-08,218.70361328125
2024-02-09,229.8828887939453
2024-02-12,229.5411834716797
2024-02-13,223.5561065673828
2024-02-14,226.1141357421875
2024-02-15,231.36695861816406
2024-02-16,231.03054809570312
2024-02-20,234.570556640625
2024-02-21,237.10336303710938
2024-02-22,240.8291778564453
2024-02-23,243.75311279296875
2024-02-26,243.79222106933594
2024-02-27,244.29095458984375
2024-02-28,245.6306915283203
2024-02-29,245.40576171875
2024-03-01,245.0146026611328
2024-03-04,243.92913818359375
2024-03-05,239.58721923828125
2024-03-06,241.89508056640625
2024-03-07,247.68429565429688
2024-03-08,246.64772033691406
2024-03-11,246.14898681640625
2024-03-12,249.2489471435547
2024-03-13,252.6520538330078
2024-03-14,254.15806579589844
2024-03-15,254.36338806152344
2024-03-18,252.05552673339844
2024-03-19,248.38839721679688
2024-03-20,258.9497375488281
2024-03-21,255.41954040527344
2024-03-22,252.47604370117188
2024-03-25,254.52963256835938
2024-03-26,252.32936096191406
2024-03-27,254.0113525390625
2024-03-28,250.75494384765625
2024-04-01,250.70602416992188
2024-04-02,249.52276611328125
2024-04-03,253.91354370117188
2024-04-04,249.91392517089844
2024-04-05,248.583984375
2024-04-08,248.0950164794922
2024-04-09,242.56983947753906
2024-04-10,239.01025390625
2024-04-11,242.2080078125
2024-04-12,234.94215393066406
2024-04-15,238.1790313720703
2024-04-16,240.55535888671875
2024-04-17,244.59410095214844
